H [kA/m],J [mT],B [mT],t [s]
1.41,165.66,167.44,0.0353888
1.41,165.66,167.43,0.055544
1.32,165.63,167.29,0.0754339
1.4,165.67,167.43,0.0955585
1.4,165.67,167.43,0.1154025
1.48,167.29,169.16,0.1354735
1.48,170.08,171.93,0.1554854
1.56,172.89,174.85,0.1654729
1.56,175.28,177.24,0.185529
1.64,176.9,178.96,0.2055764
1.64,178.89,180.95,0.2256463
1.63,180.08,182.14,0.2455668
1.63,181.28,183.33,0.2655555
1.71,182.9,185.05,0.2855828
1.79,187.71,189.96,0.3055854
1.95,193.34,195.8,0.3255803
2.03,201.33,203.88,0.3456697
2.19,211.73,214.48,0.3656313
2.35,223.32,226.28,0.3856132
2.52,234.91,238.08,0.4056842
2.68,247.7,251.06,0.4256654
2.92,263.3,266.97,0.4456127
3.08,280.06,283.93,0.4656972
3.33,296.85,301.03,0.485739
3.49,313.61,317.99,0.5057409
3.65,331.95,336.53,0.5256461
3.89,353.51,358.4,0.545671
4.13,375.47,380.66,0.5657183
4.38,397.82,403.32,0.5856777
4.62,420.97,426.77,0.6057652
4.78,447.25,453.26,0.6257994
5.11,474.41,480.83,0.6457731
5.35,501.53,508.25,0.6658531
5.67,527.89,535.02,0.6858403
5.92,555.81,563.24,0.7063854
6.24,585.74,593.59,0.7258965
6.57,616.08,624.33,0.7459629
6.97,646.05,654.81,0.7658358
7.3,676.78,685.95,0.7858618
7.7,710.33,720.01,0.8058664
8.11,745.47,755.66,0.8258644
8.52,779.41,790.12,0.8458188
9.01,813.4,824.71,0.8659035
9.41,847.74,859.57,0.8861433
9.98,884.15,896.69,0.9059232
10.55,920.55,933.81,0.9259654
11.12,955.37,969.34,0.9459398
11.69,990.98,1005.67,0.9659543
12.34,1028.61,1044.12,0.9859415
13.08,1065.88,1082.31,1.0061279
13.81,1101.96,1119.32,1.02598
14.62,1137.69,1156.07,1.0459435
15.52,1174.64,1194.14,1.0660547
16.5,1211.63,1232.36,1.086099
17.48,1247.03,1268.99,1.1062064
18.46,1280.84,1304.04,1.1261194
19.6,1313.94,1338.57,1.1461085
20.74,1347.83,1373.89,1.1661265
22.04,1380.2,1407.9,1.1862237
23.27,1410.55,1439.79,1.2061832
24.65,1439.39,1470.38,1.2260857
26.2,1468.31,1501.24,1.2490319
27.84,1495.27,1530.25,1.2661828
29.55,1520.29,1557.43,1.2862126
31.35,1542.57,1581.96,1.306233
33.14,1563.65,1605.3,1.3261424
35.18,1583.66,1627.87,1.3462172
37.3,1601.72,1648.6,1.3662881
39.43,1617.79,1667.34,1.3862188
41.63,1632.71,1685.03,1.4063423
44,1646.12,1701.41,1.4263099
46.53,1658.41,1716.88,1.4463203
49.06,1668.72,1730.36,1.4663395
51.59,1677.83,1742.66,1.4862955
54.2,1686.19,1754.3,1.5063631
56.81,1694.15,1765.54,1.5264924
59.59,1700.99,1775.87,1.546394
62.36,1706.64,1785.01,1.5663104
65.06,1711.86,1793.61,1.586343
67.91,1716.76,1802.1,1.6065121
